`name`,`ispublic`,`description`,`officialreleaseddate`,`durationsecond`,`isplayable`,`thumbnailurl`,`refcode`,`tagsjson`,`artistrefcodes`
`3:1`,`true`,,`2018`,`213`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/80f3d96f3e18398cc1da6ff8c6b439c9/80f3d96f3e18398cc1da6ff8c6b439c9.jpg`,`spt_0X4w9d5DJ2ATPDST3UjNiV`,`["3:1"]`,`["spt_56su1iNcOlGUPEtBoOoJ5D"]`
`Thu Ca`,`true`,,`2019-11-21`,`323`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r003/b71efbc197b4700289bb188f7908eccc/b71efbc197b4700289bb188f7908eccc.jpg`,`spt_42C1jFYUyE5ddOTt5Y69zL`,`["Thu Ca"]`,`["spt_3LsIDqxwDjcEKbK3D1IrDk"]`
`Daydreams`,`true`,,`2023-07-17`,`204`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r001/7594768d3ec22570fc4d40e96777e131/7594768d3ec22570fc4d40e96777e131.jpg`,`spt_17klFinKGmDiLMdyMtDgAU`,`["Daydreams"]`,`["spt_6EybZ5zwPNEtEngfrEMevN"]`
`Skyler`,`true`,,`2021-01-28`,`134`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/b35343ddcf3c6f1e6ecfef98dd8dbdff/b35343ddcf3c6f1e6ecfef98dd8dbdff.jpg`,`spt_0aBObX32gxU7YCPM5e6PF8`,`["Skyler"]`,`["spt_5dfZ5uSmzR7VQK0udbAVpf"]`
`Gene`,`true`,,`2019-05-12`,`228`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r001/ba9ad60c77b4c1382633b7df945dd81e/ba9ad60c77b4c1382633b7df945dd81e.jpg`,`spt_1UL2QMgWPeNCJhznvr99Jk`,`["Gene"]`,`["spt_2nSO7JYDbJrYbJmP39qUzj", "spt_5UNWQJdUbO8Gbg9Qn3r52M"]`
`Đôi bờ`,`true`,,`2016-01-01`,`267`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r005/8d1715acc0086620d1146b007db0707d/8d1715acc0086620d1146b007db0707d.jpg`,`spt_75Igy85tk5MWSMVrjivn6g`,`["Đôi bờ"]`,`["spt_39ybSTiJZPHDERwmZagNVX"]`
`Vut Tan`,`true`,,`2016-06-27`,`198`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r005/6a19b230661d162fb8eb02584a8702b2/6a19b230661d162fb8eb02584a8702b2.jpg`,`spt_6ARkcXs5SwcV1YbN0NyRTF`,`["Vut Tan"]`,`["spt_6CGGvCBHWqQ4HXtn5aLhbh"]`
`CLME`,`true`,,`2019-07-15`,`240`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r001/231518acda680b6c7b4537c72e58efb6/231518acda680b6c7b4537c72e58efb6.jpg`,`spt_1VBJ2QBJjgbcGgsXJbHslR`,`["CLME"]`,`["spt_4grjJqg7iwQ8RKHs8d9Snh", "spt_6tfKFH4RPLVvjJaeb5pVfI", "spt_6xRZoWlE9twEkMC5NW4Z9f"]`
`Lạc`,`true`,,`2021-10-22`,`237`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r005/2614714e811396c3bbb10d8f83f9f767/2614714e811396c3bbb10d8f83f9f767.jpg`,`spt_6SlgEjTI7VVT7FVFfDAx17`,`["Lạc"]`,`["spt_0gGd4WhPXBSgDX6fdOHcOw"]`
`Lola`,`true`,,`2018-06-30`,`333`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r001/d4b6524c6dec4cc9491c9aea26660e75/d4b6524c6dec4cc9491c9aea26660e75.jpg`,`spt_1Ez1hGx2UQbllDR09B4vMf`,`["Lola"]`,`["spt_2j3AXmye1FJXoGOXr6tufj"]`
