`name`,`isverified`,`ispublic`,`description`,`biography`,`nationalityisocode`,`thumbnailurl`,`backgroundurl`,`refcode`,`tagsjson`
`Isaac`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebcb44ea77e9b885b05ea60e8a`,,`spt_40JnMfFlpwqBnWitkL96g4`,`["Isaac"]`
`Miu Lê`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb2fc3ef8a80c35243e5e899b8`,,`spt_4e5LAUvM35jleGg8gElTsP`,`["Miu Lê"]`
`Ivone`,`true`,`true`,,,,,,`spt_1RewRrwU7ZWnCsi3LEn0Hw`,`["Ivone"]`
`Only C`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebc7c8ae4ffa1d7f3bfd4aadfa`,,`spt_5GBXwBVQufRCmwI1bNRIUo`,`["Only C"]`
`Lynk Lee`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebbbc1060f99c7a2bb88161a74`,,`spt_7H9jPV9qWyp6V629038aXU`,`["Lynk Lee"]`
`Anh Tú`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb72bf46375d15e81cc801f4c4`,,`spt_7LLfmKhGZI11XO0dO4xDI7`,`["Anh Tú"]`
`Touliver`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebd1791a8797ebb54224bbe240`,,`spt_5UNWQJdUbO8Gbg9Qn3r52M`,`["Touliver"]`
`Rhymastic`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb0e62e694576ab6f8e56db3d8`,,`spt_0gGd4WhPXBSgDX6fdOHcOw`,`["Rhymastic"]`
`Mosoulbad`,`true`,`true`,,,,,,`spt_7KLLhK77mwRW0CwfubbYrK`,`["Mosoulbad"]`
`B Ray`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eba69580618d4cb782c49f6c7b`,,`spt_1WvNgEoB66jmHodcj15Zi9`,`["B Ray"]`
`Bích Vy`,`true`,`true`,,,,,,`spt_7dC15fjh04rQM9j8b39Ylt`,`["Bích Vy"]`
`LK`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab67616d0000b273eb3522af6312545527136a30`,,`spt_6S0JgJU2l6ds1EhZUJMQFk`,`["LK"]`
`16 Typh`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb926ea7f4eb9e0b1764aec0a7`,,`spt_5U1dINFKjJlYNOSdMrHlRh`,`["16 Typh"]`
`Bình Gold`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb076887518c36920395d20876`,,`spt_3oB1lv9FWDKbNOUvdTw75Q`,`["Bình Gold"]`
