`name`,`isverified`,`ispublic`,`description`,`biography`,`nationalityisocode`,`thumbnailurl`,`backgroundurl`,`refcode`,`tagsjson`
`MUS`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb726ba90bbb14c6458db22c20`,,`spt_3V8n1qukm5514h9h4cv59g`,`["MUS"]`
`NiteD`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eba921a0f90be711121f28e676`,,`spt_7hh4uPlggEAkqTskcUU0di`,`["NiteD"]`
`Thanh Huyy`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273de2981c0bc0e7df66fe0dc4e`,,`spt_06WYvcUpN39UAIcPuvjske`,`["Thanh Huyy"]`
`VisconC`,`true`,`true`,,,,,,`spt_0maPymztMGV5iuWd9V5ndN`,`["VisconC"]`
`Zeke`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273cb8ee69c3a45f4277871ed5a`,,`spt_0t1djRjn6MaaD1XLHMplR6`,`["Zeke"]`
`Đạt R`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273e37e54fd7a44089f079f7b8c`,,`spt_0SweHpKR4fFzZvXwgGEJmL`,`["Đạt R"]`
`Mew Amazing`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b2737924c45945657ebb79256914`,,`spt_49IBeSOSjeHCO4yiq9BWwy`,`["Mew Amazing"]`
`Tyronee`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb0c301f80e4c08bac5452e875`,,`spt_04xz9bIBYTIqEpmRvQkfvu`,`["Tyronee"]`
`Zeaplee`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb3c8abc40ae26bfc0fc57b259`,,`spt_2Hj1JvsX6vc3XDU6nubG7N`,`["Zeaplee"]`
`Isaac Thai`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb15e4bf50ea04ca5ad8dff5c8`,,`spt_0rKGfjW2fkmE0o7yzhgwNN`,`["Isaac Thai"]`
`Quốc Khanh`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b2731dbeb751d9563c269fc21d55`,,`spt_2E35lazbBbr1DLhD2mdP8K`,`["Quốc Khanh"]`
`Ban Hát Chạm Live 8`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273765922f51688b1c21f8ec352`,,`spt_1pCsUb2CRRq4gLBJLtyiQu`,`["Ban Hát Chạm Live 8"]`
`Sa Anh`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b2735081595a960497d64ff454de`,,`spt_6MaZctvZfN0WfnO44P2mow`,`["Sa Anh"]`
`Kim Nguyên`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b2736d4fc2c7f13696383f2bbd44`,,`spt_0giWb1I7MxDo6t6Ayjv23m`,`["Kim Nguyên"]`
`Hiếu Phan`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273f81612fc9aeefaa20adb37df`,,`spt_1UV7BDPjw2rgc2X9T2Knkb`,`["Hiếu Phan"]`
`Khánh Linh`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b2735ee6cf1ad1dd6ebf643dbbc6`,,`spt_6svgWuCwU8y127rJRPTWcI`,`["Khánh Linh"]`
`Ngọc Trinh`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b2736ec6f2e8a3cde78e9fc295c4`,,`spt_6KUlGsTXyCQHcYDPwBj9mo`,`["Ngọc Trinh"]`
`Thai Trinh`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb29124fca2c88bb02e1f865a1`,,`spt_001OedRF8lGo3og3aHDTy6`,`["Thai Trinh"]`
`Windy`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273ed997df4877cc65b1a17c0c6`,,`spt_1AKiaJUdcgLxO6hyTN89NE`,`["Windy"]`
`DTAP`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb64c495717c271408458fa96d`,,`spt_5L9ssI4l4DKU1za4ZwvKvG`,`["DTAP"]`
`Chariot`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5ebdbf0f2515cbdb3d3bbb88e2d`,,`spt_3DzgPvCdq81HsM0c3soQIT`,`["Chariot"]`
`Duy B`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb465349a2449a4afb06c42e7d`,,`spt_5PMctPa8RxN3yzRVm93SI0`,`["Duy B"]`
`Trix`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b2735b3a61143df4023f30bc6503`,,`spt_6n5eDbbT3ErAGFipwc9DEg`,`["Trix"]`
`KAIZ`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5ebd490e801e93dfc7039b3edc4`,,`spt_5Oy8zRNFImMUeoAxjbT7Bj`,`["KAIZ"]`
`CLOUDEE`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eba5f4725f48a8baaec030c1ca`,,`spt_17IywSEniBOoJ1pd3ixTw3`,`["CLOUDEE"]`
`KaloG`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b27344ba5bb13858c95e4d2a42df`,,`spt_5nGLc392lYuxY32EDUhexD`,`["KaloG"]`
`MPaKK (Da LAB)`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5ebb2e628a05e68afb7846d513a`,,`spt_4t1PFc5QgrOBXizLHbulPO`,`["MPaKK (Da LAB)"]`
`JGKiD (Da LAB)`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5ebf9a52eb3dc5a80fdd55a067b`,,`spt_3mYnd5Nlmdpg4D9rbAqNUD`,`["JGKiD (Da LAB)"]`
`Vân Lii`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b2734cd2761619e5930e3fc54943`,,`spt_6BfevJMlmYxglw2hPZ1pCg`,`["Vân Lii"]`
`Last Fire Crew`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273ea6f713c880f415a71f500a4`,,`spt_2ZCzjBBBms92lAyVDLIGDp`,`["Last Fire Crew"]`
`Zang`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb1dad9ba707f6b06fc347edd8`,,`spt_5xrDg8oPq8PkkZFk5YK7FB`,`["Zang"]`
`Muộii (Starry Night)`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273bcb7095416f99aa7f7e31b23`,,`spt_1Tdy7LZnrufTyuEbgDi1D8`,`["Muộii (Starry Night)"]`
`VINA BẤT DIỆT`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b2739e0c323d92b0457d46070400`,,`spt_3U8Nx0ha0eSOGoUoAhLG2a`,`["VINA BẤT DIỆT"]`
`Phạm Việt Thắng`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5ebb6d78144fa475f3c217011d4`,,`spt_5THJGntrRQhRLyAZIyTq2p`,`["Phạm Việt Thắng"]`
`Dat Maniac`,`true`,`true`,,,,,,`spt_3dHDThAuzh6OMmOiT7fl2b`,`["Dat Maniac"]`
`Nguyên Jenda`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273b2a8bf3f9f0ff0f66740919b`,,`spt_4UkS0SZZ26mjsPzOOOOzsc`,`["Nguyên Jenda"]`
`Deus Tiến Đạt`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5ebb47bb7aece5a0f94499de773`,,`spt_2UMBxgeruRK9rpr2kkNze0`,`["Deus Tiến Đạt"]`
`Lizay`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273e43221e85376849ab9ae6a72`,,`spt_5zAVhRrxUZW6nCrfYFhiz4`,`["Lizay"]`
`VươngPK`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273e43221e85376849ab9ae6a72`,,`spt_7A5qreH4v2HXK8yoe5NrsS`,`["VươngPK"]`
`Ribi Sachi`,`true`,`true`,,,,,,`spt_31F76yXjDSG2jJmFH0vw0y`,`["Ribi Sachi"]`
`MyoMouse`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb3cfcdf45335764a6f46abf32`,,`spt_6YEptnkLZb6lpqi74ftRQK`,`["MyoMouse"]`
`Kaybo`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb1f72eaa0619f0e4b88cfc8d1`,,`spt_4V61KrnsIarR1csX4d5vkX`,`["Kaybo"]`
`Sambi`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb63dc3314e9fad31128b03eab`,,`spt_31XPgU2AGW3PtX56F7SG8K`,`["Sambi"]`
`Evy`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273f2d263fd1047ba7878d7662a`,,`spt_3dnA5TwCxKzBAnwbDenXmJ`,`["Evy"]`
`F`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b2731dbb5e4bf32ee5fa4c6c9907`,,`spt_6fwTAMlG2bbo85U2RlPMs7`,`["F"]`
`1Dee`,`true`,`true`,,,,,,`spt_1ilBbPQ0DdYKzPT0zfMbNF`,`["1Dee"]`
`Hưng Cacao`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb34c1aaf72de169334eed81b9`,,`spt_3KOY56OWknrjoyAO1F6wXG`,`["Hưng Cacao"]`
`Avin Lu`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5ebdc2c985da79a7d6f58f6cefe`,,`spt_0va0d4S89QpwDbKAAVGZjf`,`["Avin Lu"]`
`Pháo`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5ebfe01faba1b158583bfc75885`,,`spt_4en2ObzSYlIYbCGknXjgG9`,`["Pháo"]`
`Hải Đăng Doo`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5ebf737b433d616cc168941237f`,,`spt_0F1rSmrNT6sp3LYohgYKsT`,`["Hải Đăng Doo"]`
`Weeza`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eba611a2953cdd4e4239251fe8`,,`spt_3KCwCM9okdx5d2iDbIxQ9l`,`["Weeza"]`
`Mỹ Mỹ`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5ebae8e9de5f1fdf877f68bed5d`,,`spt_21trGUfOb8qkRjI4EyF1qm`,`["Mỹ Mỹ"]`
`Gonpop`,`true`,`true`,,,,,,`spt_69JJSToOdkx4uTG1tqiZiM`,`["Gonpop"]`
`NHATNGUYEN`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b27389e74c70d03d156be4f0b442`,,`spt_3pxke5x7WfMfs5IwsSAh0u`,`["NHATNGUYEN"]`
`Captain`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b27321560357387aae1847bf7d03`,,`spt_7j4N1pCxe72D3v4IKzK4d6`,`["Captain"]`
`LyHan`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273b645142a1593149648558648`,,`spt_70swmqj7c3SHkkdf2SrSUy`,`["LyHan"]`
`Janie`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273716e8b6865cc63cdcb77ee5b`,,`spt_5IeWit6s4bRebsjmCTIKLy`,`["Janie"]`
`Nhật Nguyễn`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b27387a71c147a2f8a35dac53cbb`,,`spt_6eUUjjYb09fbBMwsyRFaSt`,`["Nhật Nguyễn"]`
`1989s Entertainment`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5ebda9824d04125d823e2aee7e6`,,`spt_2W8eKncv7oF0lp7KUVxndY`,`["1989s Entertainment"]`
`traitimtrongvang`,`true`,`true`,,,,,,`spt_1mJGVcicJjUlltZ4okwGhn`,`["traitimtrongvang"]`
`DuongK`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273bc8f3d57d20c1eb7bc155867`,,`spt_2qoHk8oER4tuuQAnLZRKhe`,`["DuongK"]`
`Lâm Bảo Ngọc`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb6c3b47777655c69d0f3fb627`,,`spt_3E0b68wCGYihuHBtlasfm9`,`["Lâm Bảo Ngọc"]`
`Nguyen Van Chung`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb358fbc3704431e0fa5517897`,,`spt_1uXHYAZLyOQY5qaM1crBNK`,`["Nguyen Van Chung"]`
`Pha Le`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b2738e050872803acc7537432168`,,`spt_2zNhk3e6eLagVWKJ9pMHVV`,`["Pha Le"]`
`Ha Thuy Anh`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273ba485641a93f04b8d832b0b2`,,`spt_0rE9b0bBqWMsJcctnh5DUu`,`["Ha Thuy Anh"]`
`Đinh Phương Anh`,`true`,`true`,,,,,,`spt_4JRdwGgQOrlJR3EHIH67FY`,`["Đinh Phương Anh"]`
`Khanh Ngoc`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b27368404dae7e5b6d6b05c59e94`,,`spt_1XOHwRBlFW5EttwRZ80KXo`,`["Khanh Ngoc"]`
`Ưng Đại Vệ`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b2739545e670f03e066648093d31`,,`spt_3Fo2DRKuOAEf6UAfn9T4Ih`,`["Ưng Đại Vệ"]`
`Tra Ngoc Hang`,`true`,`true`,,,,,,`spt_7jRwXn4T4v1r2TApUKENxx`,`["Tra Ngoc Hang"]`
`Duong Trieu Anh`,`true`,`true`,,,,,,`spt_2fAwQ9EhFlzoprvskGBxJB`,`["Duong Trieu Anh"]`
`Quang Vinh`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273342c478f88cad2c153dfd0b9`,,`spt_2MwWpySfQIYOk7oUOJrprH`,`["Quang Vinh"]`
`Thanh Thao`,`true`,`true`,,,,,,`spt_3tho9XqMBQ95vMTXkLfaEi`,`["Thanh Thao"]`
`Xuân Mai`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b2730d7bb436c089ad01fc6cd33b`,,`spt_4s3KXlyh2nqqY8Wt8Q9Jks`,`["Xuân Mai"]`
`Thanh Ngoc`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5ebd96da7ff874417684783d757`,,`spt_5ug2q1BzWBfTJzV93QK0R9`,`["Thanh Ngoc"]`
`Big Daddy`,`true`,`true`,,,,`https://i.scdn.co/image/98e5edd57d7a9324f0b98526f22dee9617ea9c46`,,`spt_2UcJVTNX3AAs64CAUgFXKY`,`["Big Daddy"]`
`Tiến Mạnh`,`true`,`true`,,,,,,`spt_79xGO80NNqpsGklNRwWHSs`,`["Tiến Mạnh"]`
`thuy`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb6f704486055ab52d3b3be70d`,,`spt_3R80OE4RViOWbnuvqh0j8a`,`["thuy"]`
`Tinle`,`true`,`true`,,,,,,`spt_7Ihnvr0Bfc0JInHTxdyzEp`,`["Tinle"]`
`MTV Band`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb377dd49f0d7ca77c6745d479`,,`spt_4yPMFGDr3rHwOyyS634Rzd`,`["MTV Band"]`
`Tuấn`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb4581402db5be686ee120fe8b`,,`spt_6RzBlq1ZnQ4k6BQiy90sDo`,`["Tuấn"]`
`Bloo.Owl`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b2730ae61665a01039406f8100f5`,,`spt_2TUDvadWsFsFmGHAKqKTgi`,`["Bloo.Owl"]`
`Flower`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273fa3b4666e5020154af671592`,,`spt_6Nd3xPOWGLUMA1mstTs7oB`,`["Flower"]`
`8 the Theatre`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273ee76b6cb095c1bebe511a524`,,`spt_79Cp6qqvArs5BlPRAhEJqQ`,`["8 the Theatre"]`
`Nguyệt Hạ`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb8da28bdf77522c78a171d2de`,,`spt_6WR4ZrRD3qmSTl3TDoe2M8`,`["Nguyệt Hạ"]`
`KEY`,`true`,`true`,,,,,,`spt_73TfbhHFqkV3x97fX5IkpI`,`["KEY"]`
`Minh Thư`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273d603a19d3c30bc88c1506669`,,`spt_23674RvYZyn1ds9LTEFHw6`,`["Minh Thư"]`
`Aazuki`,`true`,`true`,,,,,,`spt_2VP8xs6bMCcDxNbVWTU6Xp`,`["Aazuki"]`
`Quờ`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb72aff27db808b1fc63d62410`,,`spt_0SHFKeut4NctFFYAnzDfoq`,`["Quờ"]`
`Huy Le`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273d4a0f0f3e49af68019df8190`,,`spt_1mycO08ZL17YRIOIAaU383`,`["Huy Le"]`
`NamKun`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5ebb8d114cd6041f7d38560349c`,,`spt_4j8ovS4KtDcGGvVq0dd51G`,`["NamKun"]`
`Thai Son`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273c88ffaf9d16932157252cef4`,,`spt_4tzz3DYvJguG8xeoB2UItg`,`["Thai Son"]`
`Hacrayon`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b27399377d7c0af7760a167db352`,,`spt_5lDqGFw7xo0SmLL4VfEFRh`,`["Hacrayon"]`
`Pixel Neko`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5ebe6f4a322e01dc2161257e7b9`,,`spt_6lKBdKySIpWUb4tA7hYzU7`,`["Pixel Neko"]`
`Cashmel`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b2738b61fd98f46eda0145b4cff7`,,`spt_3KjC3qk8ZE5JbC4tSj8COh`,`["Cashmel"]`
`Saabirose`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb8be92f79bc256089f37ccd4d`,,`spt_3IMLi0C3EgNuwDiksTxiS5`,`["Saabirose"]`
`DXY`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb59aac833a2081152557304b9`,,`spt_0JkfirEBER65Ny2jL0540c`,`["DXY"]`
`Đỗ Hoài Nam`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273a3898e722793bd32110fe472`,,`spt_3CQyP8mMfTKXKGGrO4CtRS`,`["Đỗ Hoài Nam"]`
`Ngắn`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb105cfe9cb5c57c76773d5763`,,`spt_4Xz2dDcMF1DDfwFcr8Xa5P`,`["Ngắn"]`
`ICD`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb6cff7c0241e89dcc2a01a2e6`,,`spt_2nk2PnWoh8U5lR6xDhDGFu`,`["ICD"]`
`Di Di`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb54234564b3827149211440a2`,,`spt_2GFbIax8VZLFzOIUBSMaBg`,`["Di Di"]`
`Việt Puzo`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb1211f70e2945e945d3e1c089`,,`spt_2edj5mgxnF2kSu7OuhJ0H7`,`["Việt Puzo"]`
`OleeAnh`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb0cd200c65faa20ac73749d4b`,,`spt_6HRA4G26X17nwmYZ8UoIsi`,`["OleeAnh"]`
`hooligan.`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb5930e88b7a54b60e14403983`,,`spt_4sDsgLXhS6If9HrV2mwuSx`,`["hooligan."]`
`Bach/YYY`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273ffe2dd66669883dc8ad5e42a`,,`spt_1I05tgU2asBtyEtYSxULY9`,`["Bach/YYY"]`
`MooN`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eba74bbf0d1fc3d7d5774717d4`,,`spt_1x1hOTP0KbnUVh5GyS4V60`,`["MooN"]`
`thaison!`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5ebbbf83ec1745a40838269b79f`,,`spt_1VQyG9aks9QYQYzwmP12Fz`,`["thaison!"]`
`Jay'Son`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb48f11bf016883da6a0c5b6b3`,,`spt_24kUY072gyOrvQoHLIIDWH`,`["Jay'Son"]`
`Gia Gia`,`true`,`true`,,,,,,`spt_0rRfgjRejsES6xPGa1N0Ew`,`["Gia Gia"]`
`Ducpham`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb9c617429d322cf2b268c7f89`,,`spt_4Amv6PU05aubFt0RXH4UeC`,`["Ducpham"]`
`Rica`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb620c917db697b50be4a2b393`,,`spt_6cXjH24NwF3n3KjnyQT2uY`,`["Rica"]`
`Rico`,`true`,`true`,,,,,,`spt_6ByAWn4GQU6spOaq4mzkgs`,`["Rico"]`
`Hoang Vu`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273c9ac846c95a9707413a5615e`,,`spt_7uX15qcVYBlfYXOl0gUpth`,`["Hoang Vu"]`
`Uyenkulele`,`true`,`true`,,,,,,`spt_0uFmsZn2rpoHDgddEOxoZJ`,`["Uyenkulele"]`
`Astronormous`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5ebe5d138a11f8f22bb5cbc0332`,,`spt_10DVqLQppj5k4viGgo33Gj`,`["Astronormous"]`
`Trang`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273a3d2779f63264db825bd6d44`,,`spt_7CMkw8eDnfvdZRT6VG77l7`,`["Trang"]`
`Tâm Phúc`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273be37b152c494f96fd0afa06f`,,`spt_0OLukfVDKFAHm9QsOIj3gU`,`["Tâm Phúc"]`
`Kwzzzy`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb44904adce7f6c2560d8140af`,,`spt_7f3vs7IeQScnYHmehKrAuv`,`["Kwzzzy"]`
`Young Wolf`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b27337f0730580ae2e5d4c34c775`,,`spt_7sL0LjhqcmiWKZZekPuGYX`,`["Young Wolf"]`
`TaylorRightHere`,`true`,`true`,,,,,,`spt_1PJs9rsxt0jKvixH43L385`,`["TaylorRightHere"]`
`Naomi`,`true`,`true`,,,,`https://i.scdn.co/image/559c0f2fcb4b9b07503f4277c608c83da18f05a6`,,`spt_2axl32yC96VupepkQDz8Ir`,`["Naomi"]`
`Phan Đình Tùng`,`true`,`true`,,,,,,`spt_5jelQslwUJMVkMUZePZBW0`,`["Phan Đình Tùng"]`
`Black Po`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb59b0182f00f4b952f8ac7e18`,,`spt_70isZ8jJb2HHcZHs8QPq9e`,`["Black Po"]`
`Thế Bảo`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b27362ec35b06c78079eaa5b9a9a`,,`spt_1ElIXQ8RLwPEROPcvqE8md`,`["Thế Bảo"]`
`Liêm Hiếu`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273143a6e31fb7fd16fdde547c7`,,`spt_1DsxcBE0S8R9btRREUb43A`,`["Liêm Hiếu"]`
`Loli`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273bcf1f98b6e1edc634d5140de`,,`spt_2STiM46mIuADJaq9Rt3odB`,`["Loli"]`
`Khoa Vũ`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb1149515a6354f498500f2e0f`,,`spt_4OqYnPUq6VwNMacIwwbWGw`,`["Khoa Vũ"]`
`Minh Thư`,`true`,`true`,,,,,,`spt_5WnWlFceR1W7hyIQ1Y9stU`,`["Minh Thư"]`
`Mạc Mai Sương`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb80a0e14301f24496433d7e2f`,,`spt_7fMznGrNJs6H2kZbiqDPgE`,`["Mạc Mai Sương"]`
`Cocoon Vietnam`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273aae1967f0ff0d9ab007b096e`,,`spt_05J8VMkJWtIEYFGNauZlxR`,`["Cocoon Vietnam"]`
`SENKA`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5ebbce19d67d33095aae9e5e40e`,,`spt_4U4I6DJ8Tlr9mCHho38pwL`,`["SENKA"]`
`Khuê`,`true`,`true`,,,,,,`spt_15ce8dZVp4RyVWiiBy27AQ`,`["Khuê"]`
`Hoang Ha Tran`,`true`,`true`,,,,,,`spt_7BmfnPctIpdj3f7onr5X8X`,`["Hoang Ha Tran"]`
`marzuz`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb0559efc622ebbe844fa38b81`,,`spt_3y6Lfjkrdn5TgkbgDxbpvM`,`["marzuz"]`
`Cao Thanh Lan`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273091b68dc97154835898330b8`,,`spt_6ME1w3ACRcBUuMwSvdrCHZ`,`["Cao Thanh Lan"]`
`VVSIX`,`true`,`true`,,,,,,`spt_2UDzk6UQH1Ee3BTYasV8mv`,`["VVSIX"]`
`Đặng Hoàng Hải`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb5d513394b7dab43fb288ae98`,,`spt_5Ehi2cYiC6sVcYguwDbchP`,`["Đặng Hoàng Hải"]`
`Kenya Boys Choir`,`true`,`true`,,,,,,`spt_6AtuXI7x6tvcoKH1jimnWa`,`["Kenya Boys Choir"]`
`Hoàng Thành Đồng`,`true`,`true`,,,,,,`spt_6jcwMAcOoVPehvDuEHs5Kk`,`["Hoàng Thành Đồng"]`
`Như Khuê`,`true`,`true`,,,,,,`spt_7Cb83tUY1kx3eqOtpCcFtG`,`["Như Khuê"]`
`Hoàng Ngân`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273166674a16d4e4278fd29c37c`,,`spt_69oxvfve68usXMUEfOHJc4`,`["Hoàng Ngân"]`
`Frè Bonjan`,`true`,`true`,,,,,,`spt_1fBihKrdehHfnFv8nn8BlS`,`["Frè Bonjan"]`
`Doan Trang`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273cd917dad4184b85bfdc72054`,,`spt_0SjJhjgc1D572KAnWda6rl`,`["Doan Trang"]`
`Minh Béo`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273a7a5c3196a3f5a8bdb7bb438`,,`spt_1IM5awuKkgeI1KqHb3YS8e`,`["Minh Béo"]`
`Xuân Nghi`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb89485d7fec8781729c4e84b4`,,`spt_09TbfG9329V26zqpb7IQT5`,`["Xuân Nghi"]`
`Khazsak`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5ebec2967acb80fdfeaf7fc5142`,,`spt_6GzLFjG0DLz5CEiIF65zOd`,`["Khazsak"]`
`Corrupted Moonlight`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5eb31e86698696d07dfc012798e`,,`spt_72RsK2KWW9jmEaqkjVy5ja`,`["Corrupted Moonlight"]`
`TPOLE`,`true`,`true`,,,,`https://i.scdn.co/image/ab6761610000e5ebe8a02706f23552d790df3d72`,,`spt_35dNRiShlDonyPe5kzl77S`,`["TPOLE"]`
`FPT Edu Experience Space`,`true`,`true`,,,,,,`spt_0oPfDJB8zMRydhodzqYznN`,`["FPT Edu Experience Space"]`
